id,어코드,노트명,이미지URL
199,Fruity,배,https://fimgs.net/mdimg/sastojci/t.182.jpg?1733161259
200,Fruity,벨리니,https://fimgs.net/mdimg/sastojci/t.312.jpg?1733161263
201,Fruity,복숭아,https://fimgs.net/mdimg/sastojci/t.117.jpg?1733161258
202,Fruity,블랙 체리,https://fimgs.net/mdimg/sastojci/t.1376.jpg?1733161258
203,Fruity,블랙 커런트,https://fimgs.net/mdimg/sastojci/t.132.jpg?1733161258
204,Fruity,블랙베리,https://fimgs.net/mdimg/sastojci/t.169.jpg?1733161259
205,Fruity,블루베리,https://fimgs.net/mdimg/sastojci/t.225.jpg?1733161261
206,Fruity,사과,https://fimgs.net/mdimg/sastojci/t.146.jpg?1733161259
207,Fruity,사워 체리,https://fimgs.net/mdimg/sastojci/t.176.jpg?1733161259
208,Fruity,사포딜라,https://fimgs.net/mdimg/sastojci/t.645.jpg?1733161265
209,Fruity,살구,https://fimgs.net/mdimg/sastojci/t.175.jpg?1733161259
210,Fruity,샴페인,https://fimgs.net/mdimg/sastojci/t.400.jpg?1733161265
211,Fruity,석류,https://fimgs.net/mdimg/sastojci/t.193.jpg?1733161259
212,Fruity,수박,https://fimgs.net/mdimg/sastojci/t.173.jpg?1733161259
213,Fruity,씨 버크손,https://fimgs.net/mdimg/sastojci/t.871.jpg?1733161266
214,Fruity,야생 딸기,https://fimgs.net/mdimg/sastojci/t.163.jpg?1733161259
215,Fruity,자두,https://fimgs.net/mdimg/sastojci/t.171.jpg?1733161259
216,Fruity,천도복숭아,https://fimgs.net/mdimg/sastojci/t.197.jpg?1733161259
217,Fruity,체리,https://fimgs.net/mdimg/sastojci/t.297.jpg?1733161262
218,Fruity,체리 리큐어,https://fimgs.net/mdimg/sastojci/t.1471.jpg?1733161259
219,Fruity,카람볼라 (스타프루트),https://fimgs.net/mdimg/sastojci/t.212.jpg?1733161260
220,Fruity,코코넛,https://fimgs.net/mdimg/sastojci/t.138.jpg?1733161258
221,Fruity,코코넛 워터,https://fimgs.net/mdimg/sastojci/t.1098.jpg?1741808124
222,Fruity,크랜베리,https://fimgs.net/mdimg/sastojci/t.274.jpg?1733161262
223,Fruity,클라우드베리,https://fimgs.net/mdimg/sastojci/t.692.jpg?1747160687
224,Fruity,키위,https://fimgs.net/mdimg/sastojci/t.178.jpg?1733161259
225,Fruity,타마린드,https://fimgs.net/mdimg/sastojci/t.233.jpg?1733161261
226,Fruity,파인애플,https://fimgs.net/mdimg/sastojci/t.170.jpg?1733161259
227,Fruity,파파야,https://fimgs.net/mdimg/sastojci/t.227.jpg?1733161261
228,Fruity,패션프루트,https://fimgs.net/mdimg/sastojci/t.161.jpg?1733161259
229,Fruity,프루티 노트,https://fimgs.net/mdimg/sastojci/t.320.jpg?1733161263
230,Fruity,피타야,https://fimgs.net/mdimg/sastojci/t.218.jpg?1733161260
231,Fruity,화이트 커런트,https://fimgs.net/mdimg/sastojci/t.219.jpg?1733161260
232,Gourmand,누가,https://fimgs.net/mdimg/sastojci/t.437.jpg?1733161265
233,Gourmand,다크 초콜릿,https://fimgs.net/mdimg/sastojci/t.136.jpg?1733161258
234,Gourmand,럼,https://fimgs.net/mdimg/sastojci/t.201.jpg?1733161259
235,Gourmand,마들렌,https://fimgs.net/mdimg/sastojci/t.1593.jpg?1733161259
236,Gourmand,마멀레이드,https://fimgs.net/mdimg/sastojci/t.268.jpg?1733161262
237,Gourmand,밀크 무스,https://fimgs.net/mdimg/sastojci/t.568.jpg?1733161265
238,Gourmand,버터,https://fimgs.net/mdimg/sastojci/t.580.jpg?1733161265
239,Gourmand,샤베트,https://fimgs.net/mdimg/sastojci/t.643.jpg?1733161265
